"Report.Year","Report.Quarter","Total"
2017,"1",893360.87
2017,"2",951141.6
2017,"3",894435.63
2017,"4",921344.48
2016,"1",867126.46
2016,"2",858042.17
2016,"3",909983.73
2016,"4",912687.23
2015,"1",849504.57
2015,"2",795745.09
2015,"3",881817.82
2015,"4",989893.75
2014,"1",781006.43
2014,"2",841818.5
2014,"3",912694.36
2014,"4",888320.81
2013,"1",723288.44
2013,"2",823894.94
2013,"3",882110.84
2013,"4",878716.3
2012,"1",874443.08
2012,"2",865499.69
2012,"3",916711.31
2012,"4",836086.66
2011,"1",954090.83
2011,"2",1015614.69
2011,"3",1190409.06
2011,"4",977583.08
2010,"1",811128.84
2010,"2",900646.82
2010,"3",918313.58
2010,"4",857689.78
2009,"1",796051.5
2009,"2",859996.85
2009,"3",866840.1
2009,"4",816720.63
2008,"1",1071967.04
2008,"2",1104478.43
2008,"3",1150320.76
2008,"4",865965.12
2007,"1",947401.98
2007,"2",994292.95
2007,"3",989290.73
2007,"4",991074.14
2006,"1",1053431.15
2006,"2",1085033.71
2006,"3",1086181.24
2006,"4",995345.62
2005,"1",1039074.62
2005,"2",1223974.94
2005,"3",1267117.96
2005,"4",1139506.83
2004,"1",916721.3
2004,"2",985748.55
2004,"3",964886.03
2004,"4",931016.94
2003,"1",741556.25
2003,"2",935419.19
2003,"3",894336.4
2003,"4",875983.82
2002,"1",735019.89
2002,"2",837227.39
2002,"3",834461.09
2002,"4",837644.55
2001,"1",637553.67
2001,"2",789571.78
2001,"3",969710.08
2001,"4",833917.93
2000,"1",567085.99
2000,"2",752583.41
2000,"3",804342.65
2000,"4",756169.7
1999,"1",440717.03
1999,"2",622866.33
1999,"3",541302.58
1999,"4",567918.63
1998,"1",298682.06
1998,"2",450849.78
1998,"3",471349.4
1998,"4",450100.9
1997,"1",323096.5
1997,"2",351261.79
1997,"3",335586.53
1997,"4",339633.28
1996,"1",239576.18
1996,"2",266572.58
1996,"3",324869.13
1996,"4",316114.82
1995,"1",117580.26
1995,"2",156525.66
1995,"3",165825.81
1995,"4",193383.16
