Report Year,Report Quarter,Ash,Auto Shredder Waste,Construction and Demolition Waste,Compost,Contaminated Sediment,Green Material,Mixed,Other,Tires,Sludge,Total
2017,1,32511.83,153270.57,173548.63,6128.89,3396.36,380686.17,0,71983.68,3771.4,68063.34,893360.87
2017,2,37294.78,159759.73,199486.77,2746.22,7585.58,401034.34,1516.12,71066.46,5066.35,65585.25,951141.6
2017,3,33349.25,153342.64,164028.38,1796.97,4280.92,362474.39,10891.73,78980.55,5323.75,79967.05,894435.63
2017,4,22248.85,123203.5,198901.7,15993.13,2979.12,347204.05,7964.83,56849.63,4575.75,141423.92,921344.48
2016,1,31423.4,123193.26,160446.54,15681.63,20203.18,334512.7,12756.9,82081.97,3402.03,83424.85,867126.46
2016,2,45504.45,126040.88,144982.9,42215.62,18089.73,310959.49,17946.71,75803.52,3616.26,72882.61,858042.17
2016,3,34216.5,135820.54,214477.75,16156.95,7188.42,294314.88,20207.17,81500.91,3229.53,102871.08,909983.73
2016,4,35444.4,134152.27,185984.91,2307.49,9348.63,340147.19,0,87633.41,3927.26,113741.67,912687.23
2015,1,34224.56,117124,185606.35,12199.4,24610.66,335397.25,0,63900.47,2984.29,73457.59,849504.57
2015,2,36600.03,116913.52,181042.35,11096.25,2245.58,324815.75,0,63234.34,2842.15,56955.12,795745.09
2015,3,42243.27,132976.78,191901.71,15948.81,3554.51,346157.08,0,69017.48,3075.47,76942.71,881817.82
2015,4,37950.44,110462.76,205396.64,915.53,9694.55,359753.07,0,115335.02,3218.52,147167.22,989893.75
2014,1,38714.14,131900.29,177752.42,81.95,7712.81,288197.62,0,55275.17,2738.28,78633.75,781006.43
2014,2,108208.23,121964.26,138239.49,62.58,10196.38,320134.1,3634.2,71224.91,2964.17,65190.18,841818.5
2014,3,57001.62,145090.98,141203.02,10631.16,14058.67,343059.3,0,58704.3,3218.53,139726.78,912694.36
2014,4,36371.06,123509.96,172549.87,6350.16,19268.12,343124.05,0,93703.52,3185.85,90258.22,888320.81
2013,1,4687.09,108287.51,134509.41,5793,24303.28,338779.72,2423.17,30163.9,3333.02,71008.34,723288.44
2013,2,11137.8,100948.22,130753.83,11517.42,47240.07,395495.63,2632.08,61323.63,3451.29,59394.97,823894.94
2013,3,2359.36,132487.32,148087.34,31.08,42129.33,385380.62,2748.4,92944.16,2375.52,73567.71,882110.84
2013,4,25859.1,135292.87,160423.36,5529.21,57005.07,336561.4,2515.8,77026.89,3562.21,74940.39,878716.3
2012,1,4565.13,128472.59,223983.76,228.26,19298.2,380617.56,2847.98,47418.26,2858.33,64153.01,874443.08
2012,2,3350.61,106836.24,125560.5,11046.33,29317.98,445240.18,2421.51,57716.61,2655.04,81354.69,865499.69
2012,3,16395.06,106260.12,171882.53,2634.42,102850.25,387104.55,2136.75,51929.8,3423.51,72094.32,916711.31
2012,4,5808.08,97525.85,158538.31,6189.92,20194.82,399620.88,5024.61,55135.17,3124.25,84924.77,836086.66
2011,1,8333.34,148406.08,140531.28,127.91,51530.78,400224.44,4342.08,127296.27,3427.23,69871.42,954090.83
2011,2,2190.53,193056.1,185014.53,129.35,15484.63,448355.72,47259.02,57500.39,2746.3,63878.12,1015614.69
2011,3,9735.46,175424.64,281972.47,90.18,53592.35,413305.98,99288.87,65709.12,2078.91,89211.08,1190409.06
2011,4,4630.43,151415.19,148569.9,187,93756.76,435671.47,4626.55,46660,2867.29,89198.49,977583.08
2010,1,3432.73,152879.48,105370.79,115,21.59,411397.44,1752.41,65612.34,4846.74,65700.32,811128.84
2010,2,2098.98,153593.31,139797.6,1131.8,158.19,457554.93,2129.78,67762.04,8254.06,68166.13,900646.82
2010,3,882.34,144028.76,149381.43,528,61.79,401444.25,920.66,149415.3,7267.77,64383.28,918313.58
2010,4,1166.09,140769.03,151699.3,82.33,114.84,402654.42,1093.46,88965.59,3457.22,67687.5,857689.78
2009,1,2755.79,134073,115816.18,771.17,5996.27,429068.77,778.76,43999.55,8120.36,54671.65,796051.5
2009,2,1897.49,146798.01,127558.84,798.04,5664.56,461620.68,707.72,53970.83,8791.52,52189.16,859996.85
2009,3,786.51,150958.6,134080.22,8921.97,5362.57,449523.05,1848.79,48058.66,6129.67,61170.06,866840.1
2009,4,264,141793.51,98579.22,19367.18,637.59,428861.89,5342.02,58711.51,4859.97,58303.74,816720.63
2008,1,985,173318.62,190737.81,93,1617.77,585122.87,1887.34,47780.76,7365.7,63058.17,1071967.04
2008,2,1631.95,178603.11,172712.43,128,16955.91,587091.38,3755.72,76659.22,8567.23,58373.48,1104478.43
2008,3,587,164112.25,218474.56,193,44205.05,556107.57,8810.18,68260.25,29842.28,59728.62,1150320.76
2008,4,2078.23,106021.14,164375.01,265,452.85,467554.55,3441.25,63332.27,3862.42,54582.4,865965.12
2007,1,497,153904.12,85382.11,421,0,569475.45,2776.74,40169.77,17786.76,76989.03,947401.98
2007,2,318,160724.84,92733.71,0,212.01,592911.41,1293.77,49637.32,17957.09,78504.8,994292.95
2007,3,411,172008.07,92544.56,835,26457.68,568884.95,6350.77,40328.32,8982.1,72488.28,989290.73
2007,4,340,145858.01,88123.64,2123,14290.71,575983.19,2166.71,42175.45,21315.83,98697.6,991074.14
2006,1,820,205820.03,87960.47,0,0,651678.17,3972.5,20279.73,10914.94,71985.31,1053431.15
2006,2,588,144198.01,93343.08,0,0,731872.55,3645.41,22753.61,11232.45,77400.6,1085033.71
2006,3,406,180051.87,101079.39,0,0,656102.27,18334.38,42202.46,9076.1,78928.77,1086181.24
2006,4,441,152993.67,101236.55,0,77.31,617197.13,2192.4,40816.63,9707.14,70683.79,995345.62
